ASV,fwd_rev,domain,conf.d,phylum,conf.p,class,conf.c,order,conf.o,family,conf.f,genus,conf.g,species,conf.s
ASV3798,+,Fungi,100%,Basidiomycota,35%,Tremellomycetes,5%,Tremellales,5%,Incertae_sedis_12,2%,Derxomyces,2%,Derxomyces_hainanensis|SH197670.06FU,1%
ASV3799,+,Fungi,100%,Basidiomycota,23%,Tremellomycetes,7%,Tremellales,7%,Incertae_sedis_12,7%,Derxomyces,6%,Derxomyces_hainanensis|SH197670.06FU,4%
ASV3800,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Bolbitiaceae,100%,Conocybe,100%,Conocybe_sp_NL_1455|SH220752.06FU,87%
ASV3801,+,Fungi,100%,Ascomycota,99%,Sordariomycetes,93%,Xylariales,73%,Xylariaceae,51%,Hypoxylon,25%,Hypoxylon_investiens|SH215811.06FU,14%
ASV3802,+,Fungi,100%,Fungi_unidentified,100%,Fungi_unidentified_1,100%,Fungi_unidentified_1,100%,Fungi_unidentified_1_1,100%,Fungi_unidentified_1_1,100%,Fungi_sp|SH229396.06FU,88%
ASV3803,+,Fungi,100%,Fungi_unidentified,97%,Fungi_unidentified_1,97%,Fungi_unidentified_1,97%,Fungi_unidentified_1_1,97%,Fungi_unidentified_1_1,97%,Fungi_sp|SH213995.06FU,97%
ASV3804,+,Fungi,100%,Chytridiomycota,61%,Chytridiomycota_unidentified,31%,Chytridiomycota_unidentified_1,31%,Chytridiomycota_unidentified_1,31%,Chytridiomycota_unidentified_1_1,31%,Chytridiomycota_sp|SH233268.06FU,21%
ASV3805,+,Fungi,100%,Basidiomycota,47%,Microbotryomycetes,7%,Sporidiobolales,7%,Incertae_sedis_25,7%,Rhodotorula,7%,Rhodotorula_lamellibrachiae|SH227552.06FU,7%
ASV3806,+,Fungi,100%,Ascomycota,100%,Eurotiomycetes,100%,Eurotiales,100%,Trichocomaceae,100%,Talaromyces,96%,Talaromyces_marneffei|SH225847.06FU,93%
ASV3807,+,Fungi,100%,Glomeromycota,17%,Glomeromycetes,17%,Diversisporales,11%,Diversisporaceae,10%,Diversisporaceae_unidentified,10%,Diversisporaceae_sp|SH200219.06FU,9%
