ASV,fwd_rev,domain,conf.d,phylum,conf.p,class,conf.c,order,conf.o,family,conf.f,genus,conf.g,species,conf.s
ASV5247,+,Fungi,100%,Glomeromycota,32%,Glomeromycota_unidentified,11%,Glomeromycota_unidentified_1,11%,Glomeromycota_unidentified_1,11%,Glomeromycota_unidentified_1_1,11%,Glomeromycota_sp|SH234684.06FU,10%
ASV5249,+,Fungi,100%,Chytridiomycota,18%,Neocallimastigomycetes,7%,Neocallimastigales,7%,Neocallimastigaceae,7%,Orpinomyces,3%,Orpinomyces_sp_NIANP60|SH192579.06FU,3%
ASV5250,+,Fungi,100%,Ascomycota,87%,Dothideomycetes,13%,Pleosporales,4%,Venturiaceae_1,4%,Sympoventuria,4%,Sympoventuria_capensis|SH232275.06FU,4%
ASV5251,+,Fungi,100%,Ascomycota,60%,Incertae_sedis_14,11%,Incertae_sedis_15,11%,Incertae_sedis_16,11%,Knufia,9%,Knufia_perforans|SH209750.06FU,9%
ASV5252,+,Fungi,100%,Basidiomycota,47%,Agaricomycetes,36%,Cantharellales,7%,Incertae_sedis_24,6%,Minimedusa,6%,Minimedusa_sp|SH221764.06FU,6%
ASV5253,+,Fungi,100%,Fungi_unidentified,69%,Fungi_unidentified_1,69%,Fungi_unidentified_1,69%,Fungi_unidentified_1_1,69%,Fungi_unidentified_1_1,69%,Fungi_sp|SH235187.06FU,42%
ASV5254,+,Fungi,100%,Basidiomycota,90%,Agaricomycetes,89%,Agaricales,72%,Agaricaceae,26%,Tulostoma,5%,Tulostoma_sp_KH_2011b|SH194067.06FU,5%
ASV5255,+,Fungi,100%,Fungi_unidentified,24%,Fungi_unidentified_1,24%,Fungi_unidentified_1,24%,Fungi_unidentified_1_1,24%,Fungi_unidentified_1_1,24%,Fungi_sp|SH235187.06FU,11%
ASV5256,+,Fungi,100%,Basidiomycota,100%,Incertae_sedis_4,100%,Malasseziales,100%,Incertae_sedis_5,100%,Malassezia,100%,Malassezia_restricta|SH206219.06FU,65%
ASV5257,+,Fungi,100%,Ascomycota,77%,Dothideomycetes,41%,Pleosporales,27%,Pleosporales_unidentified,7%,Pleosporales_unidentified_1,7%,Pleosporales_sp|SH232020.06FU,5%
ASV5258,+,Fungi,100%,Ascomycota,48%,Leotiomycetes,9%,Erysiphales,8%,Erysiphaceae,8%,Pleochaeta,7%,Pleochaeta_indica|SH226816.06FU,7%
ASV5261,+,Fungi,100%,Ascomycota,46%,Dothideomycetes,31%,Pleosporales,30%,Pleosporales_unidentified,10%,Pleosporales_unidentified_1,10%,Pleosporales_sp|SH240081.06FU,6%
ASV5262,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Incertae_sedis_7,100%,Glomerellaceae,100%,Glomerella,96%,Glomerella_tucumanensis|SH229539.06FU,96%
ASV5264,+,Fungi,100%,Ascomycota,41%,Sordariomycetes,11%,Sordariomycetes_unidentified,6%,Sordariomycetes_unidentified_1,6%,Sordariomycetes_unidentified_1,6%,Sordariomycetes_sp|SH237144.06FU,5%
ASV5267,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Agaricales_unidentified,96%,Agaricales_unidentified_1,96%,Agaricales_sp|SH190092.06FU,88%
ASV5268,+,Fungi,100%,Basidiomycota,58%,Tremellomycetes,13%,Tremellales,12%,Incertae_sedis_12,12%,Derxomyces,11%,Derxomyces_hainanensis|SH197670.06FU,8%
ASV5269,+,Fungi,100%,Basidiomycota,43%,Agaricomycetes,36%,Russulales,6%,Russulaceae,6%,Lactarius,5%,Lactarius_corrugis|SH203941.06FU,4%
ASV5270,+,Fungi,100%,Ascomycota,82%,Eurotiomycetes,47%,Chaetothyriales,40%,Herpotrichiellaceae,38%,Herpotrichiellaceae_unidentified,26%,Herpotrichiellaceae_sp|SH241308.06FU,26%
ASV5272,+,Fungi,100%,Fungi_unidentified,97%,Fungi_unidentified_1,97%,Fungi_unidentified_1,97%,Fungi_unidentified_1_1,97%,Fungi_unidentified_1_1,97%,Fungi_sp|SH241790.06FU,96%
ASV5273,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Botryosphaeriales,100%,Aplosporellaceae,100%,Aplosporella,100%,Aplosporella_sp|SH226561.06FU,97%
ASV5274,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporales_unidentified,100%,Pleosporales_unidentified_1,100%,Pleosporales_sp|SH217121.06FU,100%
ASV5277,+,Fungi,100%,Basidiomycota,100%,Microbotryomycetes,100%,Sporidiobolales,100%,Incertae_sedis_25,89%,Sporobolomyces,88%,Sporobolomyces_poonsookiae|SH212598.06FU,68%
ASV5278,+,Fungi,100%,Ascomycota,48%,Incertae_sedis_14,18%,Incertae_sedis_15,18%,Incertae_sedis_16,18%,Pulchromyces,17%,Pulchromyces_fimicola|SH227367.06FU,17%
ASV5280,+,Fungi,100%,Basidiomycota,100%,Microbotryomycetes,99%,Sporidiobolales,99%,Incertae_sedis_25,99%,Sporobolomyces,79%,Sporobolomyces_phyllomatis|SH227557.06FU,56%
ASV5281,+,Fungi,100%,Ascomycota,53%,Dothideomycetes,16%,Venturiales,7%,Venturiaceae,7%,Venturiaceae_unidentified,7%,Venturiaceae_sp|SH232828.06FU,7%
ASV5282,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Agaricales_unidentified,30%,Agaricales_unidentified_1,30%,Agaricales_sp|SH207965.06FU,28%
ASV5283,+,Fungi,100%,Zygomycota,100%,Incertae_sedis_10,100%,Mortierellales,100%,Mortierellales_unidentified,99%,Mortierellales_unidentified_1,99%,Mortierellales_sp|SH206661.06FU,99%
ASV5284,+,Fungi,100%,Fungi_unidentified,100%,Fungi_unidentified_1,100%,Fungi_unidentified_1,100%,Fungi_unidentified_1_1,100%,Fungi_unidentified_1_1,100%,Fungi_sp|SH213995.06FU,100%
ASV5286,+,Fungi,100%,Ascomycota,100%,Ascomycota_unidentified,100%,Ascomycota_unidentified_1,100%,Ascomycota_unidentified_1,100%,Ascomycota_unidentified_1_1,100%,Ascomycota_sp|SH191097.06FU,100%
ASV5294,+,Fungi,100%,Basidiomycota,34%,Tremellomycetes,7%,Tremellales,7%,Tremellales_unidentified,7%,Tremellales_unidentified_1,7%,Tremellales_sp|SH229402.06FU,7%
ASV5296,+,Fungi,100%,Ascomycota,77%,Eurotiomycetes,45%,Chaetothyriales,37%,Chaetothyriaceae,22%,Cyphellophora,20%,Cyphellophora_pluriseptata|SH214503.06FU,14%
ASV5297,+,Fungi,100%,Ascomycota,37%,Incertae_sedis_14,10%,Incertae_sedis_15,10%,Incertae_sedis_16,10%,Pulchromyces,10%,Pulchromyces_fimicola|SH227367.06FU,10%
ASV5298,+,Fungi,100%,Basidiomycota,45%,Tremellomycetes,4%,Tremellales,4%,Tremellales_unidentified,2%,Tremellales_unidentified_1,2%,Tremellales_sp|SH229402.06FU,2%
ASV5299,+,Fungi,100%,Ascomycota,61%,Sordariomycetes,56%,Sordariomycetes_unidentified,55%,Sordariomycetes_unidentified_1,55%,Sordariomycetes_unidentified_1,55%,Sordariomycetes_sp|SH237144.06FU,55%
ASV5300,+,Fungi,100%,Ascomycota,87%,Dothideomycetes,69%,Pleosporales,69%,Incertae_sedis_13,17%,Neophaeosphaeria,14%,Neophaeosphaeria_sp|SH227214.06FU,14%
ASV5302,+,Fungi,100%,Basidiomycota,95%,Agaricomycetes,90%,Agaricales,78%,Clavariaceae,65%,Clavariaceae_unidentified,36%,Clavariaceae_sp|SH222034.06FU,33%
ASV5303,+,Fungi,100%,Chytridiomycota,87%,Chytridiomycetes,81%,Spizellomycetales,77%,Spizellomycetaceae,77%,Spizellomyces,72%,Spizellomyces_sp|SH229712.06FU,46%
ASV5305,+,Fungi,100%,Ascomycota,55%,Incertae_sedis_14,13%,Incertae_sedis_15,13%,Incertae_sedis_16,13%,Pulchromyces,7%,Pulchromyces_fimicola|SH227367.06FU,7%
ASV5307,+,Fungi,100%,Ascomycota,97%,Dothideomycetes,96%,Dothideomycetes_unidentified,93%,Dothideomycetes_unidentified_1,93%,Dothideomycetes_unidentified_1,93%,Dothideomycetes_sp|SH223807.06FU,49%
ASV5309,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Marasmiaceae,100%,Gymnopus,100%,Gymnopus_menehune|SH240539.06FU,48%
ASV5310,+,Fungi,100%,Basidiomycota,24%,Tremellomycetes,5%,Tremellales,5%,Incertae_sedis_12,5%,Derxomyces,4%,Derxomyces_hainanensis|SH197670.06FU,4%
ASV5311,+,Fungi,100%,Basidiomycota,56%,Tremellomycetes,12%,Tremellales,12%,Incertae_sedis_12,12%,Derxomyces,9%,Derxomyces_wuzhishanensis|SH197673.06FU,8%
ASV5312,+,Fungi,100%,Chytridiomycota,36%,Chytridiomycota_unidentified,19%,Chytridiomycota_unidentified_1,19%,Chytridiomycota_unidentified_1,19%,Chytridiomycota_unidentified_1_1,19%,Chytridiomycota_sp|SH233268.06FU,13%
ASV5313,+,Fungi,100%,Ascomycota,98%,Sordariomycetes,80%,Hypocreales,80%,Incertae_sedis_3,13%,Myrothecium,7%,Myrothecium_sp|SH222580.06FU,6%
ASV5314,+,Fungi,100%,Ascomycota,98%,Sordariomycetes,72%,Sordariales,44%,Sordariales_unidentified,29%,Sordariales_unidentified_1,29%,Sordariales_sp|SH220626.06FU,27%
ASV5316,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Psathyrellaceae,99%,Psathyrella,99%,Psathyrella_squamosa|SH199707.06FU,75%
ASV5317,+,Fungi,100%,Basidiomycota,28%,Tremellomycetes,19%,Tremellales,19%,Incertae_sedis_12,17%,Derxomyces,17%,Derxomyces_hainanensis|SH197670.06FU,17%
ASV5318,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Sebacinales,100%,Sebacinales_unidentified,44%,Sebacinales_unidentified_1,44%,Sebacinales_sp|SH217724.06FU,44%
ASV5319,+,Fungi,100%,Ascomycota,67%,Incertae_sedis_14,15%,Incertae_sedis_15,15%,Incertae_sedis_16,15%,Pulchromyces,12%,Pulchromyces_fimicola|SH227367.06FU,12%
ASV5320,+,Fungi,100%,Fungi_unidentified,21%,Fungi_unidentified_1,21%,Fungi_unidentified_1,21%,Fungi_unidentified_1_1,21%,Fungi_unidentified_1_1,21%,Fungi_sp|SH230936.06FU,18%
ASV5322,+,Fungi,100%,Fungi_unidentified,100%,Fungi_unidentified_1,100%,Fungi_unidentified_1,100%,Fungi_unidentified_1_1,100%,Fungi_unidentified_1_1,100%,Fungi_sp|SH229396.06FU,88%
ASV5323,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,92%,Agaricaceae,55%,Tulostoma,31%,Tulostoma_sp_KH_2011b|SH194067.06FU,31%
ASV5324,+,Fungi,100%,Fungi_unidentified,30%,Fungi_unidentified_1,30%,Fungi_unidentified_1,30%,Fungi_unidentified_1_1,30%,Fungi_unidentified_1_1,30%,Fungi_sp|SH216325.06FU,23%
ASV5325,+,Fungi,100%,Basidiomycota,65%,Agaricomycetes,54%,Auriculariales,35%,Incertae_sedis_28,23%,Exidia,16%,Exidia_truncata|SH225281.06FU,13%
ASV5326,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Cantharellales,100%,Ceratobasidiaceae,100%,Ceratobasidium,96%,Ceratobasidium_sp_Rh050667|SH195857.06FU,86%
ASV5327,+,Fungi,100%,Fungi_unidentified,68%,Fungi_unidentified_1,68%,Fungi_unidentified_1,68%,Fungi_unidentified_1_1,68%,Fungi_unidentified_1_1,68%,Fungi_sp|SH239595.06FU,62%
ASV5328,+,Fungi,100%,Ascomycota,90%,Sordariomycetes,83%,Sordariales,27%,Lasiosphaeriaceae,22%,Cercophora,7%,Cercophora_samala|SH234978.06FU,7%
ASV5329,+,Fungi,100%,Chytridiomycota,61%,Chytridiomycota_unidentified,59%,Chytridiomycota_unidentified_1,59%,Chytridiomycota_unidentified_1,59%,Chytridiomycota_unidentified_1_1,59%,Chytridiomycota_sp|SH236624.06FU,56%
ASV5330,+,Fungi,100%,Basidiomycota,39%,Tremellomycetes,11%,Tremellales,11%,Incertae_sedis_12,10%,Derxomyces,10%,Derxomyces_wuzhishanensis|SH197673.06FU,8%
ASV5331,+,Fungi,100%,Ascomycota,100%,Pezizomycetes,100%,Pezizales,100%,Pezizaceae,100%,Peziza,100%,Peziza_sp|SH216311.06FU,77%
ASV5332,+,Fungi,100%,Fungi_unidentified,75%,Fungi_unidentified_1,75%,Fungi_unidentified_1,75%,Fungi_unidentified_1_1,75%,Fungi_unidentified_1_1,75%,Fungi_sp|SH235187.06FU,41%
ASV5333,+,Fungi,100%,Glomeromycota,41%,Glomeromycetes,40%,Glomerales,18%,Glomeraceae,18%,Septoglomus,12%,Septoglomus_fuscum|SH228098.06FU,12%
ASV5334,+,Fungi,100%,Basidiomycota,47%,Agaricomycetes,33%,Agaricales,16%,Mycenaceae,6%,Mycena,6%,Mycena_sp|SH193169.06FU,1%
ASV5335,+,Fungi,100%,Chytridiomycota,48%,Chytridiomycota_unidentified,32%,Chytridiomycota_unidentified_1,32%,Chytridiomycota_unidentified_1,32%,Chytridiomycota_unidentified_1_1,32%,Chytridiomycota_sp|SH236624.06FU,27%
ASV5338,+,Fungi,100%,Basidiomycota,39%,Agaricomycetes,28%,Agaricales,22%,Marasmiaceae,10%,Gymnopus,10%,Gymnopus_alkalivirens|SH238302.06FU,10%
ASV5340,+,Fungi,100%,Fungi_unidentified,73%,Fungi_unidentified_1,73%,Fungi_unidentified_1,73%,Fungi_unidentified_1_1,73%,Fungi_unidentified_1_1,73%,Fungi_sp|SH235187.06FU,50%
ASV5341,+,Fungi,100%,Chytridiomycota,62%,Chytridiomycota_unidentified,31%,Chytridiomycota_unidentified_1,31%,Chytridiomycota_unidentified_1,31%,Chytridiomycota_unidentified_1_1,31%,Chytridiomycota_sp|SH233268.06FU,27%
ASV5342,-,Fungi,100%,Ascomycota,42%,Sordariomycetes,23%,Hypocreales,7%,Nectriaceae,2%,Fusarium,0%,Fusarium_biseptatum|SH223639.06FU,0%
ASV5343,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Russulales,100%,Peniophoraceae,100%,Dendrophora,100%,Dendrophora_sp|SH234596.06FU,100%
ASV5345,+,Fungi,100%,Ascomycota,52%,Leotiomycetes,6%,Erysiphales,4%,Erysiphaceae,4%,Pleochaeta,4%,Pleochaeta_indica|SH226816.06FU,4%
ASV5346,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Psathyrellaceae,99%,Psathyrellaceae_unidentified,68%,Psathyrellaceae_sp|SH193273.06FU,68%
ASV5348,+,Fungi,100%,Ascomycota,43%,Pezizomycetes,7%,Pezizales,7%,Rhizinaceae,7%,Phymatotrichopsis,7%,Phymatotrichopsis_omnivora|SH207548.06FU,7%
ASV5349,+,Fungi,100%,Basidiomycota,62%,Microbotryomycetes,5%,Sporidiobolales,5%,Incertae_sedis_25,5%,Rhodotorula,5%,Rhodotorula_lamellibrachiae|SH227552.06FU,5%
ASV5356,-,Fungi,98%,Ascomycota,32%,Saccharomycetes,4%,Saccharomycetales,4%,Saccharomycetaceae,3%,Naumovozyma,3%,Naumovozyma_sp_QMW_2012|SH236489.06FU,3%
ASV5357,+,Fungi,100%,Ascomycota,97%,Dothideomycetes,94%,Dothideomycetes_unidentified,86%,Dothideomycetes_unidentified_1,86%,Dothideomycetes_unidentified_1,86%,Dothideomycetes_sp|SH223807.06FU,29%
ASV5358,+,Fungi,100%,Ascomycota,83%,Dothideomycetes,79%,Capnodiales,55%,Incertae_sedis_17,24%,Capnobotryella,24%,Capnobotryella_sp|SH190932.06FU,22%
ASV5359,+,Fungi,100%,Ascomycota,67%,Incertae_sedis_14,26%,Incertae_sedis_15,26%,Incertae_sedis_16,26%,Pulchromyces,21%,Pulchromyces_fimicola|SH227367.06FU,21%
ASV5361,+,Fungi,99%,Ascomycota,48%,Dothideomycetes,11%,Pleosporales,5%,Venturiaceae_1,3%,Fusicladium,3%,Fusicladium_africanum|SH232276.06FU,3%
ASV5364,+,Fungi,100%,Basidiomycota,90%,Agaricomycetes,88%,Hymenochaetales,68%,Hymenochaetaceae,64%,Phellinus,51%,Phellinus_gabonensis|SH218686.06FU,31%
ASV5366,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricomycetes_unidentified,100%,Agaricomycetes_unidentified_1,100%,Agaricomycetes_unidentified_1,100%,Agaricomycetes_sp|SH215542.06FU,100%
ASV5367,+,Fungi,100%,Ascomycota,100%,Eurotiomycetes,100%,Chaetothyriales,100%,Herpotrichiellaceae,100%,Phaeomoniella,100%,Phaeomoniella_sp_DC2099|SH221994.06FU,100%
ASV5368,+,Fungi,100%,Basidiomycota,100%,Cystobasidiomycetes,78%,Erythrobasidiales,78%,Incertae_sedis_41,78%,Erythrobasidium,78%,Erythrobasidium_hasegawianum|SH239324.06FU,78%
ASV5372,+,Fungi,100%,Ascomycota,89%,Eurotiomycetes,66%,Chaetothyriales,62%,Herpotrichiellaceae,61%,Herpotrichiellaceae_unidentified,50%,Herpotrichiellaceae_sp|SH241308.06FU,50%
ASV5373,+,Fungi,100%,Basidiomycota,70%,Agaricomycetes,59%,Thelephorales,9%,Thelephoraceae,9%,Pseudotomentella,7%,Pseudotomentella_sp|SH193971.06FU,6%
ASV5374,-,Fungi,99%,Glomeromycota,13%,Glomeromycetes,13%,Glomerales,10%,Glomeraceae,10%,Funneliformis,7%,Funneliformis_sp|SH219052.06FU,7%
ASV5376,+,Fungi,100%,Ascomycota,84%,Eurotiomycetes,18%,Eurotiales,6%,Trichocomaceae,6%,Penicillium,5%,Penicillium_sp_ATT162|SH225871.06FU,5%
ASV5377,+,Fungi,100%,Ascomycota,100%,Leotiomycetes,100%,Helotiales,100%,Rutstroemiaceae,99%,Rutstroemiaceae_unidentified,99%,Rutstroemiaceae_sp|SH212098.06FU,99%
ASV5379,-,Fungi,100%,Ascomycota,42%,Sordariomycetes,21%,Hypocreales,12%,Ophiocordycipitaceae,11%,Ophiocordyceps,11%,Ophiocordyceps_rubiginosiperitheciata|SH227646.06FU,7%
ASV5380,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Polyporales,89%,Meruliaceae,88%,Phlebia,88%,Phlebia_sp|SH226409.06FU,86%
ASV5381,+,Fungi,100%,Ascomycota,86%,Dothideomycetes,67%,Dothideomycetes_unidentified,25%,Dothideomycetes_unidentified_1,25%,Dothideomycetes_unidentified_1,25%,Dothideomycetes_sp|SH240197.06FU,24%
ASV5382,+,Fungi,100%,Ascomycota,97%,Dothideomycetes,52%,Dothideomycetes_unidentified,48%,Dothideomycetes_unidentified_1,48%,Dothideomycetes_unidentified_1,48%,Dothideomycetes_sp|SH210476.06FU,41%
ASV5383,+,Fungi,100%,Ascomycota,96%,Lecanoromycetes,14%,Baeomycetales,10%,Baeomycetaceae,10%,Baeomyces,10%,Baeomyces_sp|SH236010.06FU,10%
ASV5384,+,Fungi,100%,Ascomycota,98%,Eurotiomycetes,96%,Chaetothyriales,96%,Herpotrichiellaceae,96%,Phaeococcomyces,95%,Phaeococcomyces_sp|SH217607.06FU,95%
ASV5385,+,Fungi,98%,Ascomycota,81%,Pezizomycetes,71%,Pezizales,71%,Pezizaceae,71%,Peziza,55%,Peziza_ammophila|SH216310.06FU,22%
ASV5386,+,Fungi,100%,Ascomycota,74%,Dothideomycetes,20%,Dothideomycetes_unidentified,10%,Dothideomycetes_unidentified_1,10%,Dothideomycetes_unidentified_1,10%,Dothideomycetes_sp|SH238906.06FU,8%
ASV5387,+,Fungi,100%,Basidiomycota,100%,Ustilaginomycetes,100%,Ustilaginales,100%,Ustilaginaceae,100%,Sporisorium,99%,Sporisorium_panici_leucophaei|SH239185.06FU,99%
ASV5388,+,Fungi,100%,Basidiomycota,100%,Incertae_sedis_4,100%,Malasseziales,100%,Incertae_sedis_5,100%,Malassezia,100%,Malassezia_restricta|SH206219.06FU,100%
ASV5389,+,Fungi,100%,Ascomycota,30%,Saccharomycetes,17%,Saccharomycetales,17%,Saccharomycetaceae,13%,Naumovozyma,12%,Naumovozyma_sp_QMW_2012|SH236489.06FU,12%
ASV5391,+,Fungi,100%,Fungi_unidentified,28%,Fungi_unidentified_1,28%,Fungi_unidentified_1,28%,Fungi_unidentified_1_1,28%,Fungi_unidentified_1_1,28%,Fungi_sp|SH207368.06FU,25%
ASV5393,+,Fungi,100%,Glomeromycota,100%,Glomeromycota_unidentified,96%,Glomeromycota_unidentified_1,96%,Glomeromycota_unidentified_1,96%,Glomeromycota_unidentified_1_1,96%,Glomeromycota_sp|SH238503.06FU,94%
ASV5394,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporales_unidentified,100%,Pleosporales_unidentified_1,100%,Pleosporales_sp|SH232018.06FU,100%
ASV5397,+,Fungi,100%,Ascomycota,90%,Ascomycota_unidentified,9%,Ascomycota_unidentified_1,9%,Ascomycota_unidentified_1,9%,Ascomycota_unidentified_1_1,9%,Ascomycota_sp|SH227812.06FU,4%
ASV5398,+,Fungi,100%,Basidiomycota,84%,Agaricomycetes,82%,Corticiales,20%,Corticiaceae,20%,Limonomyces,12%,Limonomyces_sp|SH221382.06FU,12%
ASV5399,+,Fungi,100%,Fungi_unidentified,62%,Fungi_unidentified_1,62%,Fungi_unidentified_1,62%,Fungi_unidentified_1_1,62%,Fungi_unidentified_1_1,62%,Fungi_sp|SH211973.06FU,62%
ASV5400,+,Fungi,100%,Ascomycota,85%,Dothideomycetes,67%,Pleosporales,64%,Tetraplosphaeriaceae,33%,Pseudotetraploa,24%,Pseudotetraploa_curviappendiculata|SH241498.06FU,24%
ASV5401,+,Fungi,100%,Basidiomycota,88%,Agaricomycetes,81%,Russulales,57%,Peniophoraceae,56%,Peniophoraceae_unidentified,40%,Peniophoraceae_sp|SH234612.06FU,25%
ASV5402,+,Fungi,100%,Ascomycota,92%,Dothideomycetes,87%,Pleosporales,85%,Incertae_sedis_13,69%,Letendraea,64%,Letendraea_sp|SH203350.06FU,64%
ASV5403,+,Fungi,100%,Ascomycota,66%,Incertae_sedis_14,16%,Incertae_sedis_15,16%,Incertae_sedis_16,16%,Pulchromyces,14%,Pulchromyces_fimicola|SH227367.06FU,14%
ASV5404,+,Fungi,100%,Basidiomycota,81%,Agaricomycetes,75%,Polyporales,15%,Ganodermataceae,4%,Ganoderma,4%,Ganoderma_lucidum|SH203373.06FU,2%
ASV5405,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Cantharellales,100%,Ceratobasidiaceae,100%,Ceratobasidiaceae_unidentified,100%,Ceratobasidiaceae_sp|SH237892.06FU,100%
ASV5406,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Polyporales,100%,Polyporales_unidentified,100%,Polyporales_unidentified_1,100%,Polyporales_sp|SH205544.06FU,100%
ASV5407,+,Fungi,100%,Basidiomycota,98%,Agaricostilbomycetes,94%,Agaricostilbales,94%,Agaricostilbaceae,94%,Bensingtonia,94%,Bensingtonia_phyllada|SH241566.06FU,94%
ASV5408,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Diaporthales,100%,Incertae_sedis_20,100%,Valsaria,100%,Valsaria_ceratoniae|SH199845.06FU,100%
ASV5409,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Botryosphaeriales,100%,Botryosphaeriaceae,100%,Sphaeropsis,99%,Sphaeropsis_citrigena|SH236112.06FU,99%
ASV5410,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,99%,Agaricales,97%,Agaricaceae,84%,Tulostoma,59%,Tulostoma_sp_KH_2011b|SH194067.06FU,53%
ASV5411,+,Fungi,100%,Glomeromycota,49%,Glomeromycetes,48%,Diversisporales,37%,Gigasporaceae,28%,Scutellospora,25%,Scutellospora_spinosissima|SH198423.06FU,22%
ASV5412,+,Fungi,100%,Ascomycota,84%,Dothideomycetes,17%,Pleosporales,8%,Venturiaceae_1,7%,Sympoventuria,7%,Sympoventuria_capensis|SH232275.06FU,7%
ASV5414,+,Fungi,100%,Chytridiomycota,71%,Chytridiomycetes,56%,Spizellomycetales,40%,Spizellomycetaceae,40%,Spizellomyces,39%,Spizellomyces_sp|SH229712.06FU,22%
ASV5415,+,Fungi,100%,Ascomycota,71%,Pezizomycetes,15%,Pezizales,15%,Pezizales_unidentified,7%,Pezizales_unidentified_1,7%,Pezizales_sp|SH232403.06FU,7%
ASV5416,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,99%,Psathyrellaceae,57%,Coprinopsis,55%,Coprinopsis_echinospora|SH229043.06FU,32%
ASV5417,+,Fungi,100%,Ascomycota,59%,Lecanoromycetes,8%,Ostropales,7%,Thelotremataceae,7%,Diploschistes,7%,Diploschistes_actinostomus|SH235375.06FU,7%
ASV5419,+,Fungi,100%,Ascomycota,80%,Dothideomycetes,63%,Pleosporales,58%,Pleosporales_unidentified,24%,Pleosporales_unidentified_1,24%,Pleosporales_sp|SH211759.06FU,23%
ASV5420,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Dothideomycetes_unidentified,62%,Dothideomycetes_unidentified_1,62%,Dothideomycetes_unidentified_1,62%,Dothideomycetes_sp|SH232250.06FU,62%
ASV5421,+,Fungi,100%,Ascomycota,79%,Dothideomycetes,63%,Pleosporales,53%,Pleosporaceae,21%,Pleosporaceae_unidentified,20%,Pleosporaceae_sp|SH211758.06FU,20%
ASV5422,+,Fungi,100%,Glomeromycota,99%,Glomeromycetes,99%,Diversisporales,99%,Acaulosporaceae,99%,Entrophospora,99%,Entrophospora_sp|SH197095.06FU,99%
ASV5424,+,Fungi,100%,Ascomycota,96%,Pezizomycetes,92%,Pezizales,92%,Pyronemataceae,91%,Genea,88%,Genea_verrucosa|SH241479.06FU,74%
ASV5425,+,Fungi,100%,Ascomycota,90%,Sordariomycetes,82%,Hypocreales,39%,Incertae_sedis_3,23%,Stachybotrys,16%,Stachybotrys_kampalensis|SH240985.06FU,13%
ASV5426,+,Fungi,100%,Basidiomycota,46%,Agaricomycetes,42%,Cantharellales,12%,Incertae_sedis_24,6%,Minimedusa,6%,Minimedusa_sp|SH221764.06FU,6%
ASV5427,+,Fungi,100%,Ascomycota,78%,Dothideomycetes,19%,Microthyriales,7%,Microthyriaceae,7%,Tothia,7%,Tothia_fuscella|SH195931.06FU,7%
ASV5428,+,Fungi,100%,Ascomycota,96%,Dothideomycetes,90%,Incertae_sedis_8,90%,Eremomycetaceae,90%,Arthrographis,90%,Arthrographis_sp|SH225538.06FU,90%
ASV5429,+,Fungi,100%,Fungi_unidentified,25%,Fungi_unidentified_1,25%,Fungi_unidentified_1,25%,Fungi_unidentified_1_1,25%,Fungi_unidentified_1_1,25%,Fungi_sp|SH207368.06FU,21%
ASV5430,+,Fungi,100%,Ascomycota,100%,Eurotiomycetes,100%,Chaetothyriales,100%,Herpotrichiellaceae,100%,Herpotrichiellaceae_unidentified,100%,Herpotrichiellaceae_sp|SH211543.06FU,100%
ASV5431,+,Fungi,100%,Ascomycota,100%,Eurotiomycetes,100%,Chaetothyriales,99%,Herpotrichiellaceae,97%,Herpotrichiellaceae_unidentified,47%,Herpotrichiellaceae_sp|SH225364.06FU,47%
ASV5432,+,Fungi,100%,Zygomycota,100%,Incertae_sedis_10,100%,Mortierellales,100%,Mortierellaceae,100%,Mortierella,100%,Mortierella_bisporalis|SH199439.06FU,100%
ASV5434,+,Fungi,100%,Basidiomycota,95%,Agaricomycetes,95%,Sebacinales,71%,Sebacinaceae,48%,Sebacinaceae_unidentified,48%,Sebacinaceae_sp|SH234126.06FU,28%
