ASV,fwd_rev,domain,conf.d,phylum,conf.p,class,conf.c,order,conf.o,family,conf.f,genus,conf.g,species,conf.s
ASV5988,+,Fungi,100%,Basidiomycota,64%,Ustilaginomycetes,12%,Ustilaginales,9%,Ustilaginaceae,7%,Schizonella,4%,Schizonella melanogramma,4%
ASV5990,+,Fungi,100%,Ascomycota,33%,Pezizomycetes,13%,Pezizales,13%,Pezizaceae,11%,Peziza,10%,Peziza depressa,10%
ASV5991,+,Fungi,100%,Zygomycota,28%,Mucoromycotina_Incertae sedis,27%,Mucorales,23%,Pilobolaceae,20%,Pilobolus,20%,Pilobolus umbonatus,10%
ASV5992,+,Fungi,100%,Chytridiomycota,50%,Chytridiomycetes,50%,Spizellomycetales,49%,Spizellomycetaceae,49%,Spizellomyces,48%,Spizellomyces dolichospermus,34%
ASV5993,+,Fungi,100%,Zygomycota,18%,Mucoromycotina_Incertae sedis,18%,Mortierellales,18%,Mortierellaceae,18%,Mortierella,18%,Mortierella epigama,5%
ASV5994,+,Fungi,100%,Basidiomycota,45%,Agaricomycetes,34%,Agaricales,28%,Agaricaceae,8%,Macrolepiota,5%,Macrolepiota fuliginosa,5%
ASV5995,+,Fungi,100%,Basidiomycota,61%,Ustilaginomycetes,8%,Ustilaginales,8%,Ustilaginales_Incertae sedis,4%,Farysizyma,4%,Farysizyma itapuensis,4%
ASV5996,+,Fungi,100%,Ascomycota,93%,Dothideomycetes,73%,Pleosporales,68%,Tubeufiaceae,67%,Tubeufia,65%,Tubeufia cerea,65%
ASV5997,+,Fungi,100%,Basidiomycota,53%,Ustilaginomycetes,2%,Ustilaginales,1%,Ustilaginales_Incertae sedis,0%,Farysizyma,0%,Farysizyma itapuensis,0%
ASV5998,+,Fungi,100%,Zygomycota,11%,Mucoromycotina_Incertae sedis,11%,Mortierellales,3%,Mortierellaceae,3%,Mortierella,3%,Mortierella epigama,3%
ASV5999,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Agaricaceae,100%,Lepiota,100%,Lepiota pilodes,79%
