"","domain","phylum","class","order","family","genus","species"
"ASV2855","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiaceae","Capnodium","Capnodium coffeae"
"ASV2872","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Parasola",""
"ASV2873","Fungi","Ascomycota","","","","",""
"ASV2894","Fungi","Ascomycota","Sordariomycetes","Xylariales","Sordariomycetes_unidentified_1","Sordariomycetes_unidentified_1","Sordariomycetes_sp|SH200621.06FU"
"ASV2927","Fungi","Ascomycota","","","","",""
"ASV2993","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_unidentified","Hypocreales_unidentified_1",""
"ASV3006","Fungi","","","","","",""
"ASV3025","Fungi","","","","","",""
"ASV3049","Fungi","","","","","",""
"ASV3062","Fungi","Zygomycota","Entomophthoromycotina_Incertae sedis","Entomophthorales","Basidiobolaceae","Basidiobolus","Basidiobolus haptosporus"
"ASV3102","Fungi","Ascomycota","Dothideomycetes","Capnodiales","","",""
"ASV3181","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeriopsis","Phaeosphaeria oryzae"
"ASV3190","Fungi","Chytridiomycota","Chytridiomycota_unidentified","Chytridiomycota_unidentified_1","Chytridiomycota_unidentified_1","Chytridiomycota_unidentified_1_1","Chytridiomycota_sp|SH229534.06FU"
"ASV3199","Fungi","Chytridiomycota","","","","",""
"ASV3222","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Hypocrea","Hypocrea lixii"
"ASV3235","Fungi","Zygomycota","Mucoromycotina_Incertae sedis","Mortierellales","Mortierellaceae","Mortierella",""
"ASV3274","Fungi","Zygomycota","Entomophthoromycotina_Incertae sedis","Entomophthorales","Basidiobolaceae","Basidiobolus","Basidiobolus magnus"
"ASV3310","Fungi","Basidiomycota","","","","",""
"ASV3329","Fungi","Basidiomycota","Agaricomycetes","","","",""
"ASV3378","Fungi","","","","","",""
"ASV3392","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Pluteaceae","Volvariella",""
"ASV3405","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Incertae_sedis_12","Cryptococcus_1","Cryptococcus_sp|SH226566.06FU"
"ASV3458","Fungi","","","","","",""
"ASV3468","Fungi","","","","","",""
"ASV3474","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Tulasnellaceae","Tulasnellaceae_unidentified","Tulasnellaceae_sp|SH203545.06FU"
"ASV3596","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Kabatiella","Kabatiella bupleuri"
"ASV3613","Fungi","","","","","",""
"ASV3624","Fungi","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Pseudozyma","Pseudozyma_sp_Vega417|SH241684.06FU"
"ASV3626","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Steccherinaceae","Irpex","Irpex lacteus"
"ASV3637","Fungi","","","","","",""
